num,energy,dist,dist,dist
141,-75.680486,1,2.602771502,2.566158898
142,-75.89511,1,1.132062846,1.065594805
143,-75.802337,1,1.806666779,2.024988111
144,-75.700729,1,2.198045302,1.263797907
145,9999,1,0.283300526,0.822258589
146,-75.656499,1,2.798073697,2.383037224
147,-75.817598,1,1.178480222,0.719801106
148,-75.624095,1,3.226600875,2.720518188
149,-75.698958,1,2.441180565,2.399755103
150,-75.815948,1,1.297187402,0.783189093
151,-75.701542,1,2.238291623,1.413014999
152,-75.741808,1,2.020148708,1.567911606
153,-75.10712,1,3.54408047,2.90103264
154,-75.680382,1,2.469070161,1.743711404
155,-75.722115,1,2.06886553,1.264428954
156,-75.693064,1,2.493096381,2.479605526
157,-75.901667,1,1.205559777,1.223355376
158,-75.716208,1,0.695121589,0.812336152
159,-75.124676,1,3.856276669,3.169869989
160,9999,1,1.156677354,0.188961637
161,-75.595002,1,3.856270542,3.227411733
162,-75.667068,1,2.514930997,1.572503074
163,-75.855215,1,1.497976297,1.53544879
164,-75.948912,1,1.060735734,1.320437161
165,-75.83815,1,1.461915533,1.242133256
166,-75.174491,1,3.345916425,2.92291716
167,-75.688602,1,2.221277163,1.224744151
168,-75.715609,1,2.235742704,1.821406446
169,-75.654655,1,2.601431472,1.61771991
170,-75.880043,1,1.429679386,1.627366937
171,-75.785883,1,1.502824537,0.795475699
172,-75.758641,1,1.983223886,1.797401731
173,-75.706301,1,2.230027579,1.515624294
174,-75.640618,1,2.930719122,2.210519525
175,-75.72853,1,0.937664079,0.543931913
176,-75.733287,1,1.933769454,1.006885446
177,-75.904403,1,1.309016216,1.502020457
178,-75.787153,1,1.359327538,0.696019652
179,-75.288872,1,3.046469712,2.200313093
180,-75.74984,1,1.791531771,0.882571293
181,-75.652686,1,2.653694283,1.68708131
182,-75.792456,1,1.843090268,1.937895182
183,-75.792832,1,1.794447824,1.692131494
184,9999,1,0.655308047,0.470017699
185,-75.705763,1,2.182420466,1.305216875
186,-75.749475,1,1.704283568,0.752042871
187,-75.64456,1,2.950554669,2.576597535
188,-75.700772,1,2.165854634,1.193056703
189,-75.807445,1,1.679217128,1.500801173
