num,energy,
253,-0.852311,2.547056357
254,-0.838057,2.704811792
255,-1.024869,1.355817292
256,-0.844218,2.634336756
257,-0.905082,2.082147371
258,-0.845965,2.61500529
259,-1.1151,0.618805283
260,-0.996158,1.50727479
261,-1.007618,1.445751841
262,-0.910753,2.039966257
263,-0.943822,1.814172268
264,-0.969127,1.659648598
265,-0.834136,2.751696349
266,-0.858526,2.483649407
267,-0.962636,1.698049226
268,-0.857356,2.495364286
269,-0.848539,2.587039375
270,-0.803536,3.192844816
271,-1.019227,1.384923993
272,-0.847845,2.594520061
273,-1.087474,1.039236218
274,-0.898791,2.130351278
275,-1.091,1.020559189
276,-1.126421,0.707004986
277,-1.115976,0.869929871
278,-0.815542,3.000737271
279,-1.112959,0.610336489
280,-0.80076,3.242008008
281,-1.00393,1.465382143
282,-0.913702,2.018482853
283,-0.93721,1.85689162
284,-0.872992,2.346426142
285,-1.014577,1.409124863
286,-0.884391,2.246968232
287,-0.892528,2.179939511
288,-0.858373,2.485176519
289,-0.960712,1.70958466
290,-0.987544,1.554630271
291,-1.062364,1.167008877
292,-0.850494,2.566171245
293,-0.967258,1.670625486
294,-0.801057,3.236645859
295,-0.802019,3.219459691
296,-0.926732,1.926919474
297,-0.81807,2.963854824
298,-1.119706,0.840163346
299,-1.079152,1.082336427
300,-1.039636,1.280769539
301,-0.805054,3.166805435
302,-1.124866,0.681031516
303,-0.843766,2.639381152
304,-0.83314,2.763883103
305,-0.846957,2.604162074
306,-0.935852,1.865805332
307,-0.807323,3.128896283
308,-0.950162,1.774182128
309,-0.964759,1.685407107
310,-1.069463,1.131428172
311,-0.825964,2.855218788
312,-1.126825,0.72795662
313,-0.973336,1.635151318
314,-0.957238,1.730602574
315,-0.853108,2.53876399
316,-1.126499,0.709281003
317,-0.979378,1.600517461
318,-1.042867,1.264515305
319,-1.007474,1.446515988
320,-1.026587,1.347010542
321,-0.84411,2.635533653
322,-1.116685,0.864596053
323,-0.84682,2.605652115
324,-0.937115,1.85751426
325,-0.87142,2.360706276
326,-0.801889,3.221764065
327,-0.783904,3.596114858
328,-0.796584,3.320077568
329,-0.89451,2.164063491
330,-0.843366,2.643863559
331,-0.87402,2.337165542
332,-0.991606,1.532172902
333,-0.989507,1.543749082
334,-0.815163,3.00635608
335,-1.047919,1.23918384
336,-1.091383,1.018508735
337,-0.882516,2.262859686
338,-0.882133,2.266130298
339,-1.118285,0.852055819
340,-0.894661,2.162864739
341,-0.921687,1.961748228
342,-0.830264,2.799713348
343,-0.821276,2.918602427
344,-0.869328,2.379929013
345,-1.070923,1.124078843
346,-0.882387,2.263954833
347,-1.126578,0.748753671
348,-1.126731,0.741577432
349,-0.831135,2.788762225
350,-0.844521,2.630959725
351,-0.861014,2.459067424
352,-0.895698,2.154630273
353,-0.924983,1.938909938
354,-1.090592,1.022737846
355,-1.101484,0.962635133
356,-0.985057,1.568499049
357,-0.841566,2.664210921
358,-0.810306,3.080819433
359,-1.126742,0.740876649
360,-0.857893,2.489974283
361,-0.840301,2.678701736
362,-1.120917,0.82929396
363,-0.981556,1.588178533
364,-0.852469,2.545411676
365,-0.993737,1.520482248
366,-1.009369,1.436487913
367,-0.950204,1.773924011
368,-0.852891,2.541012849
369,-0.873077,2.345651683
370,-1.122023,0.81858484
371,-1.022506,1.367974875
372,-1.115182,0.87576329
373,-1.126816,0.725918488
374,-1.050018,1.228682784
375,-0.941165,1.83120809
376,-0.892463,2.180465763
377,-0.938187,1.850509026
378,-0.794754,3.356015147
379,-0.89687,2.145386465
380,-0.79333,3.38476981
381,-0.926333,1.929647662
382,-0.866365,2.407616553
383,-1.117853,0.855521067
384,-0.90413,2.089343072
385,-0.794151,3.368116177
386,-0.826548,2.847528585
387,-1.050107,1.228238656
388,-0.836604,2.721987486
389,-0.90079,2.114867377
390,-0.838034,2.705079655
391,-0.884638,2.244885444
392,-0.877134,2.309476305
394,-0.832613,2.770378359
395,-1.05066,1.225472799
396,-0.867427,2.397631849
397,-1.092122,1.014545725
398,-0.806755,3.138277894
399,-0.928546,1.914583234
400,-0.795961,3.332188934
401,-1.087268,0.544432238
402,-0.823174,2.892552651
403,-0.92162,1.962216395
404,-0.860528,2.463834617
405,-0.943926,1.813506069
406,-0.882611,2.262052437
407,-0.974331,1.629406399
408,-0.953883,1.751137794
409,-0.837332,2.713348362
410,-1.05323,1.212629473
411,-1.089357,1.029297385
412,-0.787887,3.501928569
413,-0.985581,1.565568091
414,-1.060985,1.17390104
415,-0.812842,3.041372158
416,-0.82285,2.896958284
417,-0.78618,3.541339651
418,-0.817868,2.966760754
419,-0.889553,2.204085822
420,-1.044699,1.255321041
421,-0.974122,1.630616415
422,-0.983352,1.578059026
